date,home_team,away_team,home_score,away_score,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att,Home_pg_dg,Away_pg_dg
2024-08-23,Fiji,Samoa,42,16,6.0,1.0,3.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,3.0
2024-08-25,Canada,Japan,28,55,4.0,8.0,4.0,6.0,4.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-08-30,Samoa,Tonga,43,17,6.0,2.0,5.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-08-31,South Africa,New Zealand,31,27,3.0,4.0,2.0,2.0,3.0,4.0,4.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0
2024-08-31,Argentina,Australia,19,20,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0
2024-09-01,USA,Canada,28,15,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-09-06,Tonga,Fiji,19,50,3.0,7.0,2.0,6.0,3.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-09-07,Japan,USA,41,24,5.0,3.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-09-07,Argentina,Australia,67,27,9.0,3.0,8.0,3.0,9.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
2024-09-07,South Africa,New Zealand,18,12,2.0,0.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,7.0,0.0,0.0,1.0,0.0,2.0,4.0
2024-09-14,Fiji,USA,22,3,3.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2024-09-14,Tonga,Canada,30,17,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2024-09-15,Samoa,Japan,27,49,3.0,7.0,3.0,7.0,3.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
